LOC,CC,PC,label
36.0,8.0,1.0,1
4.0,1.0,2.0,2
9.0,1.0,0.0,1
18.0,5.0,2.0,2
4.0,1.0,0.0,2
22.0,1.0,1.0,2
8.0,2.0,0.0,1
87.0,11.0,2.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,1
28.0,6.0,0.0,1
63.0,12.0,1.0,2
13.0,2.0,2.0,1
31.0,7.0,2.0,2
29.0,5.0,4.0,1
18.0,5.0,0.0,2
37.0,8.0,0.0,2
9.0,1.0,1.0,2
3.0,1.0,1.0,2
21.0,3.0,2.0,1
7.0,2.0,3.0,2
45.0,12.0,2.0,2
10.0,1.0,0.0,1
3.0,1.0,1.0,2
110.0,29.0,0.0,1
3.0,1.0,0.0,2
65.0,7.0,1.0,2
5.0,2.0,1.0,2
5.0,3.0,1.0,1
4.0,1.0,0.0,2
3.0,1.0,2.0,2
43.0,8.0,4.0,2
13.0,1.0,4.0,1
16.0,2.0,1.0,1
29.0,6.0,2.0,2
8.0,1.0,5.0,1
40.0,9.0,4.0,1
10.0,2.0,1.0,1
6.0,2.0,0.0,1
4.0,1.0,1.0,1
3.0,1.0,6.0,2
6.0,2.0,0.0,2
8.0,1.0,0.0,2
14.0,3.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
11.0,1.0,1.0,1
5.0,1.0,0.0,1
6.0,1.0,0.0,1
41.0,6.0,1.0,2
18.0,5.0,0.0,1
3.0,1.0,0.0,2
12.0,3.0,1.0,2
6.0,1.0,0.0,1
31.0,15.0,2.0,2
44.0,8.0,2.0,1
6.0,1.0,4.0,2
3.0,1.0,0.0,2
20.0,2.0,1.0,1
36.0,5.0,2.0,1
4.0,1.0,1.0,2
18.0,6.0,2.0,1
34.0,4.0,1.0,1
12.0,1.0,3.0,2
21.0,1.0,0.0,1
4.0,1.0,1.0,2
70.0,12.0,1.0,2
21.0,5.0,1.0,2
25.0,6.0,2.0,2
9.0,2.0,1.0,1
7.0,2.0,0.0,2
8.0,3.0,2.0,2
3.0,1.0,1.0,1
13.0,4.0,1.0,2
8.0,2.0,0.0,1
3.0,1.0,3.0,2
23.0,6.0,1.0,2
3.0,1.0,0.0,1
3.0,1.0,0.0,1
2.0,1.0,0.0,2
22.0,6.0,1.0,1
15.0,1.0,2.0,2
28.0,4.0,0.0,2
44.0,6.0,1.0,1
36.0,8.0,2.0,2
6.0,2.0,0.0,2
27.0,4.0,14.0,1
3.0,1.0,6.0,2
5.0,1.0,0.0,1
22.0,6.0,3.0,2
10.0,3.0,2.0,2
12.0,1.0,0.0,1
7.0,2.0,1.0,1
3.0,1.0,0.0,2
29.0,2.0,0.0,2
15.0,6.0,0.0,1
5.0,2.0,0.0,2
17.0,1.0,0.0,2
41.0,8.0,0.0,2
68.0,21.0,5.0,1
3.0,1.0,3.0,1
54.0,7.0,2.0,1
8.0,3.0,1.0,1
15.0,1.0,2.0,2
6.0,2.0,0.0,2
34.0,7.0,2.0,2
30.0,1.0,0.0,1
23.0,3.0,3.0,2
30.0,5.0,1.0,1
4.0,1.0,0.0,1
4.0,1.0,1.0,1
0.0,1.0,1.0,2
28.0,4.0,3.0,1
5.0,2.0,1.0,1
6.0,2.0,1.0,1
8.0,2.0,0.0,1
34.0,1.0,1.0,2
31.0,7.0,0.0,2
3.0,1.0,1.0,1
29.0,6.0,0.0,1
77.0,15.0,0.0,2
44.0,8.0,2.0,1
8.0,2.0,0.0,1
