NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
1.0,0.0,1.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,2.0,2
0.0,0.0,1.0,1.0,37.0,7.0,0.0,0.0,-1.0,8.0,0.0,2
0.0,0.0,3.0,3.0,21.0,3.0,0.0,0.0,-1.0,0.0,4.0,1
56.0,3.0,103.0,60.0,2082.0,385.0,0.0,1.0,0.1553398058252427,3.0,38.0,2
5.0,0.0,5.0,4.0,37.0,7.0,0.0,1.0,0.4,0.0,5.0,1
14.0,0.0,22.0,16.0,266.0,47.0,0.0,1.0,0.22727272727272727,2.0,7.0,2
6.0,0.0,12.0,12.0,47.0,12.0,0.0,0.0,0.5,4.0,0.0,2
1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,4.0,0.0,1
0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,1.0,0.0,1
0.0,0.0,2.0,0.0,18.0,2.0,2.0,0.0,-1.0,0.0,1.0,2
3.0,0.0,5.0,5.0,95.0,16.0,0.0,1.0,0.4,0.0,2.0,2
0.0,0.0,1.0,1.0,37.0,7.0,0.0,0.0,-1.0,6.0,0.0,2
0.0,0.0,1.0,1.0,18.0,3.0,0.0,0.0,-1.0,0.0,2.0,1
4.0,0.0,9.0,6.0,164.0,27.0,0.0,1.0,0.0,0.0,5.0,1
3.0,0.0,13.0,11.0,181.0,31.0,0.0,0.0,0.6153846153846154,2.0,3.0,2
7.0,0.0,10.0,0.0,303.0,36.0,0.0,0.0,0.2,1.0,2.0,2
1.0,0.0,2.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,1
11.0,11.0,0.0,0.0,16.0,0.0,0.0,0.0,-1.0,11.0,0.0,2
3.0,0.0,25.0,11.0,484.0,80.0,0.0,0.0,0.32,9.0,14.0,2
0.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,-1.0,1.0,0.0,2
1.0,0.0,3.0,3.0,35.0,4.0,0.0,2.0,0.0,0.0,0.0,2
6.0,0.0,19.0,15.0,137.0,34.0,0.0,0.0,0.5789473684210527,4.0,8.0,2
0.0,0.0,3.0,3.0,21.0,3.0,0.0,0.0,-1.0,0.0,4.0,1
0.0,0.0,13.0,13.0,88.0,13.0,0.0,0.0,-1.0,9.0,0.0,2
0.0,0.0,7.0,7.0,29.0,7.0,0.0,0.0,-1.0,4.0,2.0,2
6.0,0.0,12.0,12.0,47.0,12.0,0.0,0.0,0.5,4.0,0.0,2
0.0,0.0,3.0,3.0,8.0,3.0,0.0,0.0,-1.0,0.0,0.0,1
7.0,0.0,11.0,11.0,54.0,11.0,0.0,0.0,0.2727272727272727,2.0,1.0,2
0.0,0.0,11.0,11.0,63.0,11.0,0.0,0.0,-1.0,38.0,2.0,2
1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
5.0,0.0,8.0,8.0,108.0,23.0,0.0,0.0,0.0,1.0,0.0,2
2.0,2.0,4.0,4.0,47.0,4.0,0.0,0.0,1.0,0.0,0.0,2
1.0,0.0,2.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.0,11.0,11.0,137.0,21.0,0.0,3.0,0.0,1.0,0.0,2
0.0,0.0,2.0,2.0,13.0,2.0,0.0,3.0,-1.0,1.0,2.0,2
1.0,0.0,3.0,3.0,39.0,8.0,0.0,2.0,1.0,0.0,2.0,2
1.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,4.0,4.0,21.0,9.0,0.0,0.0,0.5,2.0,0.0,2
12.0,0.0,5.0,3.0,109.0,13.0,0.0,0.0,0.0,17.0,2.0,2
0.0,0.0,2.0,2.0,6.0,2.0,1.0,0.0,-1.0,11.0,1.0,1
0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
3.0,0.0,5.0,5.0,47.0,7.0,0.0,2.0,0.4,7.0,0.0,1
0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,-1.0,2.0,0.0,1
0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,-1.0,1.0,2.0,2
5.0,0.0,3.0,1.0,42.0,8.0,0.0,1.0,0.0,0.0,4.0,1
